Constituent fund name,Date,Currency,NAV / unit
Manulife MPF North American Equity Fund,02/10/2019,HKD,16.374
Manulife MPF North American Equity Fund,03/10/2019,HKD,16.541
Manulife MPF North American Equity Fund,04/10/2019,HKD,16.771
Manulife MPF North American Equity Fund,08/10/2019,HKD,16.427
Manulife MPF North American Equity Fund,09/10/2019,HKD,16.608
Manulife MPF North American Equity Fund,10/10/2019,HKD,16.687
Manulife MPF North American Equity Fund,11/10/2019,HKD,16.900
Manulife MPF North American Equity Fund,14/10/2019,HKD,16.890
Manulife MPF North American Equity Fund,15/10/2019,HKD,17.118
Manulife MPF North American Equity Fund,16/10/2019,HKD,17.050
Manulife MPF North American Equity Fund,17/10/2019,HKD,17.104
Manulife MPF North American Equity Fund,18/10/2019,HKD,16.957
Manulife MPF North American Equity Fund,21/10/2019,HKD,17.084
Manulife MPF North American Equity Fund,22/10/2019,HKD,16.974
Manulife MPF North American Equity Fund,23/10/2019,HKD,17.033
Manulife MPF North American Equity Fund,24/10/2019,HKD,17.125
Manulife MPF North American Equity Fund,25/10/2019,HKD,17.145
Manulife MPF North American Equity Fund,28/10/2019,HKD,17.243
Manulife MPF North American Equity Fund,29/10/2019,HKD,17.205
Manulife MPF North American Equity Fund,30/10/2019,HKD,17.282
Manulife MPF North American Equity Fund,31/10/2019,HKD,17.231
Manulife MPF North American Equity Fund,01/11/2019,HKD,17.413
Manulife MPF North American Equity Fund,04/11/2019,HKD,17.447
Manulife MPF North American Equity Fund,05/11/2019,HKD,17.387
Manulife MPF North American Equity Fund,06/11/2019,HKD,17.363
Manulife MPF North American Equity Fund,07/11/2019,HKD,17.431
Manulife MPF North American Equity Fund,08/11/2019,HKD,17.493
Manulife MPF North American Equity Fund,11/11/2019,HKD,17.484
Manulife MPF North American Equity Fund,12/11/2019,HKD,17.532
Manulife MPF North American Equity Fund,13/11/2019,HKD,17.522
Manulife MPF North American Equity Fund,14/11/2019,HKD,17.560
Manulife MPF North American Equity Fund,15/11/2019,HKD,17.704
Manulife MPF North American Equity Fund,18/11/2019,HKD,17.732
Manulife MPF North American Equity Fund,19/11/2019,HKD,17.793
Manulife MPF North American Equity Fund,20/11/2019,HKD,17.728
Manulife MPF North American Equity Fund,21/11/2019,HKD,17.683
Manulife MPF North American Equity Fund,22/11/2019,HKD,17.729
Manulife MPF North American Equity Fund,25/11/2019,HKD,17.924
Manulife MPF North American Equity Fund,26/11/2019,HKD,17.967
Manulife MPF North American Equity Fund,27/11/2019,HKD,18.045
Manulife MPF North American Equity Fund,28/11/2019,HKD,18.041
Manulife MPF North American Equity Fund,29/11/2019,HKD,17.973
Manulife MPF North American Equity Fund,02/12/2019,HKD,17.780
Manulife MPF North American Equity Fund,03/12/2019,HKD,17.663
Manulife MPF North American Equity Fund,04/12/2019,HKD,17.726
Manulife MPF North American Equity Fund,05/12/2019,HKD,17.742
Manulife MPF North American Equity Fund,06/12/2019,HKD,17.895
Manulife MPF North American Equity Fund,09/12/2019,HKD,17.823
Manulife MPF North American Equity Fund,10/12/2019,HKD,17.781
Manulife MPF North American Equity Fund,11/12/2019,HKD,17.830
Manulife MPF North American Equity Fund,12/12/2019,HKD,17.917
Manulife MPF North American Equity Fund,13/12/2019,HKD,17.924
Manulife MPF North American Equity Fund,16/12/2019,HKD,18.069
Manulife MPF North American Equity Fund,17/12/2019,HKD,18.066
Manulife MPF North American Equity Fund,18/12/2019,HKD,18.084
Manulife MPF North American Equity Fund,19/12/2019,HKD,18.190
Manulife MPF North American Equity Fund,20/12/2019,HKD,18.271
Manulife MPF North American Equity Fund,23/12/2019,HKD,18.268
Manulife MPF North American Equity Fund,24/12/2019,HKD,18.262
Manulife MPF North American Equity Fund,27/12/2019,HKD,18.414
Manulife MPF North American Equity Fund,30/12/2019,HKD,18.276
Manulife MPF North American Equity Fund,31/12/2019,HKD,18.312
Manulife MPF North American Equity Fund,02/01/2020,HKD,18.565
Manulife MPF North American Equity Fund,03/01/2020,HKD,18.403
Manulife MPF North American Equity Fund,06/01/2020,HKD,18.519
Manulife MPF North American Equity Fund,07/01/2020,HKD,18.487
Manulife MPF North American Equity Fund,08/01/2020,HKD,18.609
Manulife MPF North American Equity Fund,09/01/2020,HKD,18.720
Manulife MPF North American Equity Fund,10/01/2020,HKD,18.689
Manulife MPF North American Equity Fund,13/01/2020,HKD,18.824
Manulife MPF North American Equity Fund,14/01/2020,HKD,18.791
Manulife MPF North American Equity Fund,15/01/2020,HKD,18.832
Manulife MPF North American Equity Fund,16/01/2020,HKD,19.022
Manulife MPF North American Equity Fund,17/01/2020,HKD,19.093
Manulife MPF North American Equity Fund,20/01/2020,HKD,19.089
Manulife MPF North American Equity Fund,21/01/2020,HKD,19.053
Manulife MPF North American Equity Fund,22/01/2020,HKD,19.054
Manulife MPF North American Equity Fund,23/01/2020,HKD,19.064
Manulife MPF North American Equity Fund,24/01/2020,HKD,18.854
Manulife MPF North American Equity Fund,29/01/2020,HKD,18.778
Manulife MPF North American Equity Fund,30/01/2020,HKD,18.821
Manulife MPF North American Equity Fund,31/01/2020,HKD,18.542
Manulife MPF North American Equity Fund,03/02/2020,HKD,18.726
Manulife MPF North American Equity Fund,04/02/2020,HKD,19.058
Manulife MPF North American Equity Fund,05/02/2020,HKD,19.159
Manulife MPF North American Equity Fund,06/02/2020,HKD,19.201
Manulife MPF North American Equity Fund,07/02/2020,HKD,19.133
Manulife MPF North American Equity Fund,10/02/2020,HKD,19.313
Manulife MPF North American Equity Fund,11/02/2020,HKD,19.329
Manulife MPF North American Equity Fund,12/02/2020,HKD,19.505
Manulife MPF North American Equity Fund,13/02/2020,HKD,19.480
Manulife MPF North American Equity Fund,14/02/2020,HKD,19.511
Manulife MPF North American Equity Fund,17/02/2020,HKD,19.510
Manulife MPF North American Equity Fund,18/02/2020,HKD,19.511
Manulife MPF North American Equity Fund,19/02/2020,HKD,19.630
Manulife MPF North American Equity Fund,20/02/2020,HKD,19.500
Manulife MPF North American Equity Fund,21/02/2020,HKD,19.191
Manulife MPF North American Equity Fund,24/02/2020,HKD,18.467
Manulife MPF North American Equity Fund,25/02/2020,HKD,17.897
Manulife MPF North American Equity Fund,26/02/2020,HKD,17.848
Manulife MPF North American Equity Fund,27/02/2020,HKD,17.115
Manulife MPF North American Equity Fund,28/02/2020,HKD,17.083
Manulife MPF North American Equity Fund,02/03/2020,HKD,17.759
Manulife MPF North American Equity Fund,03/03/2020,HKD,17.203
Manulife MPF North American Equity Fund,04/03/2020,HKD,17.858
Manulife MPF North American Equity Fund,05/03/2020,HKD,17.211
Manulife MPF North American Equity Fund,06/03/2020,HKD,16.905
Manulife MPF North American Equity Fund,09/03/2020,HKD,15.605
Manulife MPF North American Equity Fund,10/03/2020,HKD,16.435
Manulife MPF North American Equity Fund,11/03/2020,HKD,15.668
Manulife MPF North American Equity Fund,12/03/2020,HKD,14.253
Manulife MPF North American Equity Fund,13/03/2020,HKD,15.488
Manulife MPF North American Equity Fund,16/03/2020,HKD,13.562
Manulife MPF North American Equity Fund,17/03/2020,HKD,14.201
Manulife MPF North American Equity Fund,18/03/2020,HKD,13.475
Manulife MPF North American Equity Fund,19/03/2020,HKD,13.754
Manulife MPF North American Equity Fund,20/03/2020,HKD,13.330
Manulife MPF North American Equity Fund,23/03/2020,HKD,12.983
Manulife MPF North American Equity Fund,24/03/2020,HKD,14.211
Manulife MPF North American Equity Fund,25/03/2020,HKD,14.379
Manulife MPF North American Equity Fund,26/03/2020,HKD,15.155
Manulife MPF North American Equity Fund,27/03/2020,HKD,14.543
Manulife MPF North American Equity Fund,30/03/2020,HKD,14.985
Manulife MPF North American Equity Fund,31/03/2020,HKD,14.832
Manulife MPF North American Equity Fund,01/04/2020,HKD,14.115
Manulife MPF North American Equity Fund,02/04/2020,HKD,14.313
Manulife MPF North American Equity Fund,03/04/2020,HKD,14.021
Manulife MPF North American Equity Fund,06/04/2020,HKD,15.143
Manulife MPF North American Equity Fund,07/04/2020,HKD,15.156
Manulife MPF North American Equity Fund,08/04/2020,HKD,15.730
Manulife MPF North American Equity Fund,09/04/2020,HKD,15.933
Manulife MPF North American Equity Fund,14/04/2020,HKD,16.337
Manulife MPF North American Equity Fund,15/04/2020,HKD,16.051
Manulife MPF North American Equity Fund,16/04/2020,HKD,16.183
Manulife MPF North American Equity Fund,17/04/2020,HKD,16.564
Manulife MPF North American Equity Fund,20/04/2020,HKD,16.330
Manulife MPF North American Equity Fund,21/04/2020,HKD,15.794
Manulife MPF North American Equity Fund,22/04/2020,HKD,16.192
Manulife MPF North American Equity Fund,23/04/2020,HKD,16.239
Manulife MPF North American Equity Fund,24/04/2020,HKD,16.469
Manulife MPF North American Equity Fund,27/04/2020,HKD,16.735
Manulife MPF North American Equity Fund,28/04/2020,HKD,16.604
Manulife MPF North American Equity Fund,29/04/2020,HKD,17.250
Manulife MPF North American Equity Fund,04/05/2020,HKD,16.795
Manulife MPF North American Equity Fund,05/05/2020,HKD,16.969
Manulife MPF North American Equity Fund,06/05/2020,HKD,16.969
Manulife MPF North American Equity Fund,07/05/2020,HKD,17.215
Manulife MPF North American Equity Fund,08/05/2020,HKD,17.469
Manulife MPF North American Equity Fund,11/05/2020,HKD,17.501
Manulife MPF North American Equity Fund,12/05/2020,HKD,17.137
Manulife MPF North American Equity Fund,13/05/2020,HKD,16.796
Manulife MPF North American Equity Fund,14/05/2020,HKD,17.030
Manulife MPF North American Equity Fund,15/05/2020,HKD,17.169
Manulife MPF North American Equity Fund,18/05/2020,HKD,17.674
Manulife MPF North American Equity Fund,19/05/2020,HKD,17.602
Manulife MPF North American Equity Fund,20/05/2020,HKD,17.955
Manulife MPF North American Equity Fund,21/05/2020,HKD,17.829
Manulife MPF North American Equity Fund,22/05/2020,HKD,17.922
Manulife MPF North American Equity Fund,25/05/2020,HKD,17.919
Manulife MPF North American Equity Fund,26/05/2020,HKD,18.106
Manulife MPF North American Equity Fund,27/05/2020,HKD,18.349
Manulife MPF North American Equity Fund,28/05/2020,HKD,18.258
Manulife MPF North American Equity Fund,29/05/2020,HKD,18.352
Manulife MPF North American Equity Fund,01/06/2020,HKD,18.489
Manulife MPF North American Equity Fund,02/06/2020,HKD,18.638
Manulife MPF North American Equity Fund,03/06/2020,HKD,18.878
Manulife MPF North American Equity Fund,04/06/2020,HKD,18.729
Manulife MPF North American Equity Fund,05/06/2020,HKD,19.163
Manulife MPF North American Equity Fund,08/06/2020,HKD,19.329
Manulife MPF North American Equity Fund,09/06/2020,HKD,19.320
Manulife MPF North American Equity Fund,10/06/2020,HKD,19.298
Manulife MPF North American Equity Fund,11/06/2020,HKD,18.207
Manulife MPF North American Equity Fund,12/06/2020,HKD,18.452
Manulife MPF North American Equity Fund,15/06/2020,HKD,18.665
Manulife MPF North American Equity Fund,16/06/2020,HKD,19.005
Manulife MPF North American Equity Fund,17/06/2020,HKD,18.985
Manulife MPF North American Equity Fund,18/06/2020,HKD,19.019
Manulife MPF North American Equity Fund,19/06/2020,HKD,18.939
Manulife MPF North American Equity Fund,22/06/2020,HKD,19.114
Manulife MPF North American Equity Fund,23/06/2020,HKD,19.256
Manulife MPF North American Equity Fund,24/06/2020,HKD,18.736
